"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","834","Login with multiple users","Login","2026-05-12","passed","2026-05-12","","","",""
"","129","Create a new product via POST returns created product","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","4539","Sort products by name Z to A","Inventory Page - Product Sorting","2026-05-12","passed","2026-05-12","","","",""
"","174","Get all products returns successful response with data","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","476","Update an existing product via PUT returns updated data","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","5295","Sort products by name Z to A","Inventory Page - Product Sorting","2026-05-12","passed","2026-05-12","","","",""
"","127","Get product with non-existent ID returns not found error","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","135","Get products with limit parameter returns correct count","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","130","Delete a product via DELETE confirms deletion","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","129","Get all product categories returns a non-empty list","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","5997","Add multiple products increases cart badge count","Cart Management","2026-05-12","passed","2026-05-12","","","",""
"","19","Get single product by valid ID returns full product details","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","4357","Add multiple products increases cart badge count","Cart Management","2026-05-12","passed","2026-05-12","","","",""
"","183","Authenticate user with valid credentials returns access token","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
"","2559","Login with multiple users","Login","2026-05-12","passed","2026-05-12","","","",""
"","130","Get products filtered by category returns only matching products","E-commerce Products API Validation","2026-05-12","passed","2026-05-12","","","",""
